sentence_index,agent,,,,,
550,she,,,,,
550,she,,,,,
551,Pessim,,,,,
551,Pessim,,,,,
551,Pessim,,,,,
552,Bill Weedles,,,,,
552,Bill Weedles,,,,,
553,we,,,,,
553,Bill Weedles,,,,,
553,Bill Weedles,,,,,
555,she,,,,,
555,Bill Weedles,,,,,
556,me,,,,,
556,them,,,,,
556,she,,,,,
557,Bill Weedles,,,,,
558,me,,,,,
558,them,,,,,
558,them,,,,,
559,me,,,,,
560,Trot,,,,,
561,Billina,,,,,
561,the little man,,,,,
561,Billina,,,,,
561,a way,,,,,
562,They,,,,,
562,she,,,,,
563,They,,,,,
563,something,,,,,
563,something,,,,,
564,the little man,,,,,
564,the little man,,,,,
564,the little man,,,,,
566,I,,,,,
566,Bill Weedles and Trot both,,,,,
567,I,,,,,
569,Bill Weedles,,,,,
570,it,,,,,
571,a very small voice in her ear,,,,,
572,her,,,,,
574,me,,,,,
575,the sailor,,,,,
575,the sailor,,,,,
576,Pessim,,,,,
576,the Orks,,,,,
576,You,,,,,
576,the Orks,,,,,
576,the Orks,,,,,
576,the Orks,,,,,
576,you,,,,,
576,you,,,,,
577,you,,,,,
578,the Orks,,,,,
578,the Orks,,,,,
578,the Orks,,,,,
580,the Orks,,,,,
580,it,,,,,
580,the Orks,,,,,
581,you,,,,,
583,I,,,,,
583,I,,,,,
584,I,,,,,
584,she,,,,,
584,Cap'n Billina and Trot,,,,,
584,for the poor Orks,,,,,
584,the little man Pessim,,,,,
585,He,,,,,
585,He,,,,,
585,He,,,,,
585,He,,,,,
585,He,,,,,
585,He,,,,,
588,He,,,,,
588,He,,,,,
591,I,,,,,
591,I,,,,,
592,I,,,,,
592,my,,,,,
592,my,,,,,
595,the girl,,,,,
596,the neighbors,,,,,
596,you,,,,,
597,the neighbors,,,,,
597,you,,,,,
597,you,,,,,
597,you,,,,,
598,the neighbors,,,,,
598,the neighbors,,,,,
598,the neighbors,,,,,
598,you,,,,,
600,me,,,,,
600,those neighbors,,,,,
601,Pessim,,,,,
601,Pessim,,,,,
601,Pessim,,,,,
601,Pessim,,,,,
601,Pessim,,,,,
602,Pessim,,,,,
602,Pessim,,,,,
603,Pessim,,,,,
605,I,,,,,
606,I,,,,,
607,a tree toad,,,,,
607,I,,,,,
607,the gulls and cormorants,,,,,
608,I,,,,,
608,I,,,,,
609,I,,,,,
609,I,,,,,
609,a small tree,,,,,
609,I,,,,,
611,I,,,,,
611,a sharp breeze,,,,,
612,I,,,,,
612,I,,,,,
612,I,,,,,
612,I,,,,,
614,I,,,,,
614,the beasts or birds,,,,,
614,any of the beasts or birds that live upon this island,,,,,
615,They,,,,,
615,all three,,,,,
615,the Orks,,,,,
615,you,,,,,
619,you,,,,,
619,you,,,,,
621,Trot,,,,,
623,him,,,,,
624,him,,,,,
624,him,,,,,
624,the grove,,,,,
625,a small tree,,,,,
626,berries of a deep purple color,,,,,
626,Bill Weedles,,,,,
626,Bill Weedles,,,,,
627,The Orks,,,,,
628,Bill Weedles,,,,,
628,the little girl,,,,,
628,the little girl,,,,,
629,the little girl,,,,,
629,the little girl,,,,,
630,You,,,,,
630,I,,,,,
630,I,,,,,
630,You,,,,,
631,You,,,,,
631,You,,,,,
632,You,,,,,
632,You,,,,,
633,You,,,,,
633,You,,,,,
635,you,,,,,
636,me,,,,,
637,Pessim,,,,,
639,Anyone,,,,,
640,Their feathers,,,,,
640,Pessim,,,,,
641,the Orks,,,,,
642,we,,,,,
642,we,,,,,
642,we,,,,,
643,Pessim,,,,,
643,Pessim,,,,,
643,Pessim,,,,,
643,Pessim,,,,,
644,Pessim,,,,,
646,He,,,,,
646,He,,,,,
646,He,,,,,
647,you,,,,,
647,you,,,,,
647,you,,,,,
647,Trot,,,,,
648,you,,,,,
648,Trot,,,,,
649,You,,,,,
650,Bill Weedles,,,,,
650,at the thought,,,,,
650,the Orks,,,,,
651,the creature,,,,,
651,the Orks,,,,,
651,the Orks,,,,,
651,the Orks,,,,,
652,You,,,,,
652,they,,,,,
652,You 's face,,,,,
653,Cap'n Billina,,,,,
653,by Trot,,,,,
653,Cap'n Billina,,,,,
653,she,,,,,
654,Pessim,,,,,
654,Pessim,,,,,
655,They,,,,,
655,They,,,,,
