sentence_index,agent,
594,I,
597,he,
598,by he is appearance,
599,The Giantess,
599,feathers,
599,he,
601,The Giantess,
601,The Giantess,
601,The Giantess,
601,The Giantess,
602,that,
603,the Scarecrow Bear,
603,Mrs. Yoop 's,
604,the Scarecrow Bear,
604,the Scarecrow Bear,
604,the Scarecrow Bear,
605,the Scarecrow Bear,
605,the Scarecrow Bear,
607,I,
607,I,
608,You,
609,You,
609,You,
609,I,
610,I,
610,I,
610,You,
611,I,
611,I,
612,she,
612,she,
613,the Scarecrow Bear,
613,the Scarecrow Bear,
613,the Scarecrow Bear,
613,she,
615,"the Scarecrow Bear , the Scarecrow Bear",
616,the dreadful finger,
617,a small Scarecrow Bear of Oz,
620,Woot the Wanderer,
621,hehe 's,
621,a small Scarecrow Bear of Oz,
621,a small Scarecrow Bear of Oz,
623,chirped,
624,the Tin Owl,
625,The light,
626,Woot the Wanderer,
627,Woot the Wanderer,
627,the Tin Owl,
628,the Giantess,
628,you,
628,you,
629,the Giantess,
630,the Giantess,
630,the Giantess,
630,the boy,
631,the Giantess,
631,the Giantess,
633,I,
633,a Woot the Wanderer,
634,Woot the Wanderer,
634,the terrible magic finger,
634,the terrible magic finger,
635,Woot the Wanderer,
635,changing,
636,Woot the Wanderer,
636,Woot the Wanderer,
638,His,
639,His,
639,His,
640,His,
640,Giantess,
641,Giantess,
641,Giantess,
642,she,
642,she,
645,my dear Woot the Wanderer,
645,my dear Woot the Wanderer,
646,my dear Woot the Wanderer,
646,my dear Woot the Wanderer,
647,she,
647,she,
648,she,
650,Tin Woodman,
650,my Tin Woodman,
651,my Tin Woodman,
651,my Tin Woodman,
651,it,
653,me,
653,me,
654,a stuffed Scarecrow Bear of Oz,
654,me,
654,a stuffed Scarecrow Bear of Oz,
654,a stuffed Scarecrow Bear of Oz,
655,me,
655,me,
656,me,
656,me,
656,me,
657,she,
657,she,
657,she,
658,I,
658,I,
658,I,
658,you,
659,I,
659,I,
660,I,
660,I,
661,We,
661,a straw - stuffed little Scarecrow of Oz which used to be a live Scarecrow,
663,The bird,
664,Mrs. Yoop,
664,The bird,
665,I,
665,The bird,
666,I,
668,the Canary,
669,you,
669,you,
670,the Scarecrow Bear,
670,you,
670,you,
671,this terrible Yookoohoo,
671,this terrible Yookoohoo,
672,she,
672,she,
673,she,
674,you,
675,me,
675,we,
675,we,
676,Daughter of the Rainbow,
677,I,
677,I.,
678,"the Giantess , who seemed pleased to hear I talk , even though I complained",
678,who,
678,I,
678,I,
678,who,
678,it,
678,you,
678,you,
679,no magic on earth,
679,no magic on earth,
680,who,
680,it,
680,who,
680,it,
680,who,
680,it,
680,who,
680,it,
681,I,
681,I,
682,I,
682,our friends,
682,our friends,
683,our friends,
683,Mrs. Yoop,
683,our friends,
683,our friends,
684,our friends,
684,The Woot the Wanderer,
684,The Woot the Wanderer,
684,our friends,
684,The Woot the Wanderer,
684,The Woot the Wanderer,
684,our friends,
684,The Woot the Wanderer,
684,our friends,
685,the Polly the Rainbow,
685,we,
685,Mrs. Yoop,
685,Mrs. Yoop,
686,we,
686,we,
687,Woot the WandererWoot the WandererWoot the Wanderer,
687,Woot the WandererWoot the WandererWoot the Wanderer,
687,Woot the Wanderer 's command,
687,Woot the Wanderer,
688,You,
688,you,
688,the Polly the Rainbow,
689,the Polly the Rainbow,
689,the Tin Woodman,
691,her,
691,her,
691,Polly the Rainbow Polly the Rainbow,
692,I,
692,the Magic Apron,
692,nothing else,
693,her,
693,her,
693,her,
693,her,
693,her,
694,her,
694,the door,
695,I,
696,I,
696,I,
696,I,
696,I,
697,we,
697,we,
697,we,
698,I,
698,II,
699,I,
699,the Owl,
699,the Woot the Wanderer,
699,the Woot the Wanderer,
700,the Woot the Wanderer,
701,Woot the Wanderer,
702,Woot the Wanderer,
702,Woot the Wanderer,
702,Woot the Wanderer,
703,Woot the Wanderer,
