sentence_index,agent,,,,,
278,he,,,,,
279,the first light of dawn,,,,,
280,the tired sleeping girl,,,,,
280,the tired sleeping girl,,,,,
282,the tired sleeping girl,,,,,
283,Hank,,,,,
284,Bobbin,,,,,
287,The raft,,,,,
288,Betsy Bobbin,,,,,
288,the mule,,,,,
290,I,,,,,
290,I,,,,,
290,I,,,,,
290,I,,,,,
290,we,,,,,
291,Hank,,,,,
291,Hank,,,,,
292,I,,,,,
292,I,,,,,
294,Betsy Bobbin,,,,,
295,us,,,,,
295,us,,,,,
297,us,,,,,
297,us,,,,,
298,Hank,,,,,
298,Hank,,,,,
298,Hank,,,,,
298,Hank,,,,,
299,Betsy Bobbin,,,,,
299,at the wonderful sight Betsy Bobbin saw,,,,,
299,Betsy Bobbin,,,,,
302,Betsy Bobbin and his,,,,,
302,the mule,,,,,
303,the Roses,,,,,
304,I,,,,,
305,I,,,,,
305,I,,,,,
306,the Roses,,,,,
306,chorus,,,,,
306,one of the Roses,,,,,
307,I,,,,,
307,the mule,,,,,
307,the mule,,,,,
308,the Roses,,,,,
308,some one,,,,,
309,A dainty Moss Rose,,,,,
311,Betsy Bobbin,,,,,
311,Betsy Bobbin,,,,,
311,somewhat indignant,,,,,
312,you,,,,,
312,Hank 's voice,,,,,
312,you,,,,,
313,The Roses,,,,,
313,one of The Roses,,,,,
316,Hank,,,,,
317,the Roses,,,,,
320,you,,,,,
322,one,,,,,
324,the Roses,,,,,
325,the storm,,,,,
325,the girl,,,,,
326,we the girl,,,,,
327,the Moss,,,,,
328,I,,,,,
328,I,,,,,
328,I,,,,,
329,a delicate Tea Rose,,,,,
329,a delicate Tea Rose,,,,,
329,you,,,,,
329,the Royal Gardener,,,,,
329,the Royal Gardener,,,,,
331,you,,,,,
335,I,,,,,
335,fork,,,,,
340,he,,,,,
340,to find strangers in he is greenhouse,,,,,
340,he,,,,,
340,Hank,,,,,
340,he,,,,,
340,he,,,,,
341,Betsy Bobbin,,,,,
341,Betsy Bobbin,,,,,
342,Hank,,,,,
343,Betsy Bobbin,,,,,
343,he,,,,,
343,he,,,,,
345,he,,,,,
345,he,,,,,
345,he,,,,,
346,the girl,,,,,
349,the girl,,,,,
350,the Royal Gardener,,,,,
350,the Royal Gardener,,,,,
351,Shaggy,,,,,
351,man,,,,,
351,a queer looking man,,,,,
351,Betsy Bobbin,,,,,
352,a man,,,,,
352,the girl,,,,,
353,a man,,,,,
353,a man,,,,,
353,by the accident,,,,,
353,by the accident,,,,,
353,by the accident,,,,,
353,as a man calmly looked around a man,,,,,
353,a man,,,,,
353,a man,,,,,
353,a man,,,,,
355,Betsy Bobbin,,,,,
356,him,,,,,
359,I,,,,,
359,you,,,,,
359,Betsy Bobbin,,,,,
360,you,,,,,
360,branch,,,,,
361,you,,,,,
361,you,,,,,
361,you,,,,,
361,Hank,,,,,
362,by the crash of glass and the fall of you into the bower of Roses,,,,,
362,The Royal Gardener,,,,,
362,The Royal Gardener,,,,,
362,you,,,,,
363,You,,,,,
364,You,,,,,
366,You,,,,,
367,Breaking the glass,,,,,
367,You,,,,,
368,to intrude in any part of the Rose Kingdom,,,,,
369,you,,,,,
369,Shaggy Man,,,,,
370,you,,,,,
370,you,,,,,
372,any stranger,,,,,
372,by the Ruler,,,,,
373,you,,,,,
373,he,,,,,
374,Hank,,,,,
375,Hank,,,,,
375,Hank,,,,,
376,Hank,,,,,
376,Betsy Bobbin,,,,,
376,Betsy Bobbin,,,,,
377,the mule 's 's attack,,,,,
378,she,,,,,
378,she,,,,,
378,us,,,,,
379,They,,,,,
380,the Shaggy Man,,,,,
380,the Shaggy Man,,,,,
381,the Shaggy Man,,,,,
383,Betsy Bobbin,,,,,
384,a charming little enchantment,,,,,
384,everyone,,,,,
385,I,,,,,
385,"our beloved Ruler , Royal Ozma of Oz",,,,,
385,I,,,,,
385,Betsy Bobbin,,,,,
385,Betsy Bobbin,,,,,
387,I,,,,,
388,I,,,,,
390,I.,,,,,
391,Betsy Bobbin,,,,,
392,you,,,,,
393,you,,,,,
393,you,,,,,
394,you,,,,,
394,you,,,,,
396,Betsy Bobbin,,,,,
396,Betsy Bobbin,,,,,
397,he,,,,,
397,he,,,,,
397,he,,,,,
399,he,,,,,
399,he,,,,,
400,Betsy Bobbin,,,,,
401,I,,,,,
401,I,,,,,
402,Brother,,,,,
403,One day Brother,,,,,
404,They,,,,,
405,I,,,,,
407,you,,,,,
408,she,,,,,
409,you,,,,,
409,you,,,,,
409,you,,,,,
409,you,,,,,
410,The Roquat of the Rocks,,,,,
417,me,,,,,
418,anyone,,,,,
418,this Roquat of the Rocks,,,,,
418,this Roquat of the Rocks,,,,,
420,me,,,,,
420,you,,,,,
421,I,,,,,
422,I,,,,,
423,the girl,,,,,
424,I.,,,,,
424,I,,,,,
424,I,,,,,
425,I,,,,,
426,Betsy Bobbin,,,,,
426,I,,,,,
426,the terrible Metal Monarch,,,,,
427,I,,,,,
428,Betsy Bobbin,,,,,
430,she,,,,,
431,the fierce Metal Monarch,,,,,
431,the fierce Metal Monarch,,,,,
431,the fierce Metal Monarch,,,,,
431,me,,,,,
432,she,,,,,
433,me,,,,,
434,me,,,,,
436,she,,,,,
436,Shaggy Man,,,,,
436,Shaggy Man,,,,,
437,she,,,,,
437,she,,,,,
